,X,after_wrms_name,AlphiaID,gen_spp,kingdom,subkingdom,infrakingdom,phylum,subphylum,infraphylum,superclass,class,superorder,order,suborder,family,subfamily,genus,species,tribe,superfamily,na,wormsid_kingdom,wormsid_subkingdom,wormsid_infrakingdom,wormsid_phylum,wormsid_subphylum,wormsid_infraphylum,wormsid_superclass,wormsid_class,wormsid_superorder,wormsid_order,wormsid_suborder,wormsid_family,wormsid_subfamily,wormsid_genus,wormsid_species,wormsid_tribe,wormsid_superfamily,wormsid_na,species_ID
3,3,NA,154370,Ameiurus nebulosus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Siluriformes,NA,Ictaluridae,NA,Ameiurus,Ameiurus nebulosus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,163992,NA,163995,NA,164034,164043,NA,NA,NA,SP66
7,7,NA,1016489,Austrolebias wolterstorffi,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Aplocheiloidei,Aplocheilidae,Rivulinae,Austrolebias,Austrolebias wolterstorffi,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,553130,553158,553203,646787,646872,647389,NA,NA,NA,SP87
9,9,NA,1019437,Betta rubra,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Anabantoidei,Osphronemidae,Macropodinae,Betta,Betta rubra,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,172582,172678,638689,172610,638726,NA,NA,NA,SP61
11,11,NA,1022825,campostoma anomalum,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Pogonichthyinae,Campostoma,Campostoma anomalum,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,1198935,1198937,163507,163508,NA,638796,NA,SP84
12,12,NA,1528185,Chirostoma estor,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Atheriniformes,NA,Atherinopsidae,Menidiinae,Chirostoma,Chirostoma estor,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,165429,NA,630579,630585,166063,630719,NA,NA,NA,SP69
13,13,NA,1020289,chrosomus erythrogaster,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Laviniinae,Chrosomus,Chrosomus erythrogaster,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,1198935,1198941,913982,913994,NA,638796,NA,SP83
16,16,NA,1049459,Coregonus hoyi,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Coregoninae,Coregonus,Coregonus hoyi,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161928,161929,NA,161931,623284,161932,623394,NA,NA,NA,SP64
26,26,NA,159325,Gambusia affinis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Poeciliidae,Poeciliinae,Gambusia,Gambusia affinis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165896,NA,NA,NA,SP19
27,27,NA,1312572,Garra rufa,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Cyprinidae,NA,Garra,Garra rufa,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,163342,NA,163704,689117,NA,638796,NA,SP71
32,32,NA,1022862,ictiobus bubalus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Catostomidae,Ictiobinae,Ictiobus,Ictiobus bubalus,NA,Cobitoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,163892,638807,163954,163955,NA,638797,NA,SP8
