,species_name,kingdom,subkingdom,infrakingdom,phylum,subphylum,infraphylum,superclass,class,superorder,order,suborder,family,subfamily,genus,species,tribe,superfamily,na,wormsid_kingdom,wormsid_subkingdom,wormsid_infrakingdom,wormsid_phylum,wormsid_subphylum,wormsid_infraphylum,wormsid_superclass,wormsid_class,wormsid_superorder,wormsid_order,wormsid_suborder,wormsid_family,wormsid_subfamily,wormsid_genus,wormsid_species,wormsid_tribe,wormsid_superfamily,wormsid_na,species_ID
1,Albula vulpes,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Elopomorpha,Albuliformes,Albuloidei,Albulidae,Albulinae,Albula,Albula vulpes,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161106,553134,161118,161119,635300,161120,161121,NA,NA,NA,SP46
2,Alosa aestivalis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Clupeomorpha,Clupeiformes,Clupeoidei,Clupeidae,Alosinae,Alosa,Alosa aestivalis,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161693,161694,161699,161700,551155,161701,161703,NA,NA,NA,SP91
3,Ameiurus nebulosus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Siluriformes,NA,Ictaluridae,NA,Ameiurus,Ameiurus nebulosus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,163992,NA,163995,NA,164034,164043,NA,NA,NA,SP66
4,Anguilla rostrata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Elopomorpha,Anguilliformes,Anguilloidei,Anguillidae,NA,Anguilla,Anguilla rostrata,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161106,161123,161124,161125,NA,161126,161127,NA,NA,NA,SP33
5,Anoplopoma fimbria,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Scorpaeniformes,Anoplopomatoidei,Anoplopomatidae,NA,Anoplopoma,Anoplopoma fimbria,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,166702,553164,167121,NA,167122,167123,NA,NA,NA,SP74
6,aphanius dispar,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Cyprinodontidae,Cyprinodontinae,Aphanius,Aphanius dispar,Orestiini,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,553130,165614,165629,646796,165721,165722,646798,NA,NA,SP15
7,Megalebias wolterstorffi,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Aplocheiloidei,Aplocheilidae,Rivulinae,Megalebias,Megalebias wolterstorffi,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,553130,553158,553203,646787,646872,647389,NA,NA,NA,SP87
8,Bathygobius cocosensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Gobioidei,Gobiidae,NA,Bathygobius,Bathygobius cocosensis,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171745,171746,NA,171817,553398,NA,NA,NA,SP92
9,Betta rubra,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Anabantoidei,Osphronemidae,Macropodinae,Betta,Betta rubra,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,172582,172678,638689,172610,638726,NA,NA,NA,SP61
10,Boreogadus saida,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Boreogadus,Boreogadus saida,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,164385,164665,NA,164701,550569,164705,164706,NA,NA,NA,SP56
