initials,in_2.0_search,study_ID,complete?,fish_source,captive_#_generations,peer_reviewed,title,data_collection_year,pub_year,journal,thesis_chapter,supplementary-data,doi,citation-APA,notes
NM,,2_0040,yes,wild,,yes,"Thermal Niche of Larval Sea Lamprey, Petromyzon marinus",NA,1094,,,,doi.org/10.1139/f94-026,"Holmes, J. A., & Lin, P. (1994). Thermal Niche of Larval Sea Lamprey, Petromyzon marinus. Canadian Journal of Fisheries and Aquatic Sciences, 51(2), 253–262. https://doi.org/10.1139/f94-026",
LG,yes,1_0034,,captivity,hatchery,yes,The effect of temperature and oxygen on the growth rate of the windermere char (Salvelinus alpinus willughbii),NA,1964,Comparative Biochemistry and Physiology,n/a,no,doi.org/10.1016/0010-406X(64)90172-0,"Swift, D. R. (1964). The effect of temperature and oxygen on the growth rate of the windermere char (Salvelinus alpinus willughbii). Comparative Biochemistry and Physiology, 12(2), 179–183. https://doi.org/10.1016/0010-406X(64)90172-0",
LG,yes,1_0021,yes,captivity,many,yes,Swimming Performance of Sockeye Salmon (Oncorhynchus nerka) in relation to Fatigue Time and Temperature,NA,1967,Journal of the Fisheries Research Board of Canada,n/a,no,doi.org/10.1139/f67-142,"Brett, J. R. (1967). Swimming Performance of Sockeye Salmon (Oncorhynchus nerka) in relation to Fatigue Time and Temperature. Journal of the Fisheries Research Board of Canada, 24(8), 1731–1741. https://doi.org/10.1139/f67-142",
HM,,2_0048,yes,wild,,,,NA,1978,,,,https://doi.org/10.1016/0044-8486(78)90058-3,"Williams, S. F., & Caldwell, R. S. (1978). Growth, food conversion and survival of 0-group English sole (Parophrys vetulus Girard) at five temperatures and five rations. Aquaculture, 15(2), 129–139. https://doi.org/10.1016/0044-8486(78)90058-3",
HM,,2_0078,yes--but see note,wild,,yes,,NA,1982,,no,no,https://doi.org/10.1111/j.1095-8649.1982.tb02861.x,"ENERGETIC COSTS AT DIFFERENT LEVELS OF FEEDING IN JUVENILE COD, GADUS-MORHUA L",
HM,n/a,2_0027,,wild,,yes,Growth responses of the brown bullhead ( Ictalurus nebulosus ) to temperature,NA,1985,Canadian Journal of Zoology,no,no,doi.org/10.1139/z85-224,"Keast, A. (1985). Growth responses of the brown bullhead ( Ictalurus nebulosus ) to temperature. Canadian Journal of Zoology, 63(6), 1510–1515. https://doi.org/10.1139/z85-224",
LG,yes,1_0004,**cohort Id is n/a -- yes because I don't know how to split them ah,wild,n/a,yes,"Lethal Temperatures and the Effect of Temperature Change on Volitional Swimming Speeds of Chub Mackerel, Scomber japonicus",1983,NA,Copeia,n/a,no,doi.org/10.2307/1444885,"Schaefer, K. M. (1986). Lethal Temperatures and the Effect of Temperature Change on Volitional Swimming Speeds of Chub Mackerel, Scomber japonicus. Copeia, 1986(1), 39–44. https://doi.org/10.2307/1444885",
LG,yes,1_0013,yes,wild,n/a,yes,"Temperature-Induced Shift in Foraging Ability in Two Fish Species, Roach (Rutilus rutilus) and Perch (Perca fluviatilis): Implications for Coexistence between Poikilotherms",NA,1986,Journal of Animal Ecology,n/a,no,doi.org/10.2307/4419,"Persson, L. (1986). Temperature-Induced Shift in Foraging Ability in Two Fish Species, Roach (Rutilus rutilus) and Perch (Perca fluviatilis): Implications for Coexistence between Poikilotherms. Journal of Animal Ecology, 55(3), 829–839. https://doi.org/10.2307/4419","extracted in (Kontopoulos et al., 2024)"
HM,,2_0086,yes,wild,,yes,,NA,1987,,no,no,https://doi.org/10.1007/BF00002736,"Temperature-dependent differences in foraging ability of two percids, Perca fluviatilis and Gymnocephalus cernuus",
NM,n/a,2_0024,,wild,,yes,Growth-Temperature Relation for Young-Of-The-Year Ruffe,NA,1993,Journal of Great Lakes Research,n/a,no,doi.org/10.1016/S0380-1330(93)71247-2,"Edsall, T. A., Selgeby, J. H., DeSorcie, T. J., & French, J. R. P. (1993). Growth-Temperature Relation for Young-Of-The-Year Ruffe. Journal of Great Lakes Research, 19(3), 630–633. https://doi.org/10.1016 /S0380-1330(93)71247-2",
